name,alt,country,latitude,longitude,
MOUNT EVEREST,8848,Nepal/Tibet (China),27.988,86.924,
K 2,8611,Pakistan/Xinjiang (China),35.883,76.513,
KANGCHENJUNGA,8586,Nepal/Sikkim (India),27.703,88.147,
DHAULAGIRI I,8167,Nepal,28.697,83.49,
MANASLU,8163,Nepal,28.549,84.558,
NANGA PARBAT,8125,Pakistan,35.239,74.591,
ANNAPURNA I,8091,Nepal,28.596,83.823,
NANDA DEVI,7816,India,30.377,79.971,
BATURA SAR,7795,Pakistan,36.51,74.523,
NAMCHA BARWA,7782,Tibet (China),29.629,95.056,
TIRICH MIR,7706,Pakistan,36.254,71.843,
KONGUR TAGH,7649,Xinjiang (China),38.594,75.313,
KANGKAR P?NZUM,7570,Bhutan/Tibet (China),28.048,90.454,
MINYA KONKA / GONGGA SHAN,7556,Sichuan (China),29.595,101.877,
PIK IMENI ISMAIL SAMANI,7495,Tajikistan,38.943,72.015,
JENGISH CHOKUSU,7439,Kyrghysztan/China,42.038,80.125,
GYALHA PERI,7294,Tibet (China),29.814,94.968,
ACONCAGUA,6962,Argentina,-31.347,-69.989,
OJOS DEL SALADO,6905,Chile/Argentina,-26.891,-67.459,
MERCEDARIO,6700,Argentina,-30.021,-69.888,
XUELIAN FENG,6627,Xinjiang (China),42.262,80.89,
CHIMBORAZO,6267,Ecuador,-0.531,-77.183,
DENALI / MOUNT McKINLEY,6194,Alaska (USA),63.07,-150.996,
MOUNT LOGAN,5959,Yukon (Canada),60.567,-139.596,
KILIMANJARO (KIBO),5895,Tanzania,-2.924,37.352,
COLON/BOLIVAR *,5775,Colombia,10.839,-72.314,
EL'BRUS,5642,Russia,43.353,42.439,
PICO DE ORIZABA / CITLALT?PETL,5636,Mexico,19.03,-96.729,
DAMAVAND,5604,Iran,35.955,52.11,
YULONG XUESHAN,5596,Yunnan (China),27.098,100.175,
CERRO BOLS?N,5552,Argentina,-26.786,-65.906,
MOUNT SAINT ELIAS,5489,Alaska (USA) /Yukon (Canada),60.293,-139.069,
BOGDA SHAN,5445,China,43.802,88.333,
RITACUBA BLANCA,5410,Colombia,6.494,-71.703,
POPOCATEPETL,5400,Mexico,19.023,-97.373,
MOUNT LUCANIA,5226,Yukon (Canada),61.023,-139.533,
